"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1893,4.1,-2.2,-2.8,-3.5,-2,-0.7,-4.5,-1.7,-3.8,0.9,-1.5,2.6,-2.6,4.1
"historical",1894,1.6,-2.7,-3.6,-4.3,-3.9,-1.7,-5.2,-1.1,-2.7,2,-1.1,1.2,-2,2
"historical",1895,2.8,-1.6,-2.9,-5.4,-4.1,-1.8,-4.5,-0.8,1,1,-2.1,1.3,-1.7,2.8
"historical",1896,3.7,-2.9,-1.7,-0.9,-5.8,-3,-2.7,0.1,-2.1,0.4,0.4,0.4,-4.3,3.7
"historical",1897,2.2,-2,-1.4,-3.8,-0.4,-0.4,-6.6,0.2,-1.4,1.3,-2.1,0.7,-1.9,2.2
"historical",1898,2.1,-1.5,-2.3,-3.1,-1.6,-2.2,-4,1.6,-1.5,-0.6,-1,-0.3,-3.2,2.1
"historical",1899,1.9,-3.3,-1.1,-2.9,-2,-3,-3.8,-1.1,-2.4,3.4,2.3,0.5,-6.1,3.4
"historical",1900,3.5,-4.4,-1.5,-3.5,-3.6,-1.2,-2.3,0.7,-3.7,1,0.7,2,-2.9,3.5
"historical",1901,1.3,-4.8,-3,-2,-4.6,-1.5,-2.3,-0.2,-2.9,1.2,-2.9,-0.2,-1.9,1.3
"historical",1902,3.3,-0.9,-3.8,-3.1,-4.3,-1.4,-7.7,-1.3,-3.8,1,2.3,3.2,-1.9,3.3
"historical",1903,1.4,-0.1,-4.8,-4.6,-1.8,1.1,-5.7,-1.2,-2.5,1.3,-2.3,2.6,-3.6,2.6
"historical",1904,3.5,-5.2,-0.6,-4.9,-3.6,-4.3,-5.8,-3.3,-3.6,0.6,-2.8,2.5,-3.6,3.5
"historical",1905,3,-4.1,-2.4,-1.5,-3.2,0,-6,-1.6,-3.1,1.3,-1,0.4,-0.2,3
"historical",1906,1.4,-4.4,-2.8,-4.8,-5,-1.1,-6,-3.5,-2.6,1.5,-1.9,2.6,-0.2,2.6
"historical",1907,2,-3,-2.8,-4.5,-3.6,0.6,-3.5,-1.2,-5,-0.3,-4.4,1.2,-2.5,2
"historical",1908,0.8,0.2,-1.3,-4.4,-3.2,-0.3,-2.4,-0.9,-3.5,-0.1,-0.2,0.6,-3.8,0.8
"historical",1909,2.2,0.4,-3.2,-3.5,-4.8,-2.1,-4.1,-2.3,-3.1,1,-2.2,1.2,-1.6,2.2
"historical",1910,3,-0.5,-1.3,-3.5,0.9,-1.9,-4,0.4,-4,1.9,-0.9,3.6,-2.6,3.6
"historical",1911,3.5,-2.7,-1.7,-3.5,-5.9,-1.1,-2.6,-2,-2.4,0.3,-0.1,-2,-2.1,3.5
"historical",1912,1.6,-1.5,0.3,-3,-1.9,1.2,-4,-0.8,-8.2,2.7,0.4,2.4,-1.5,2.7
"historical",1913,2.5,-2.9,-3.3,-2.3,-5.1,-0.3,-4.3,-1.3,-5.8,1.5,-0.6,-1.2,-2.1,2.5
"historical",1914,1.8,-1.9,-0.4,-4.9,-3.2,-3.1,-5.6,-2.8,-5.3,0.2,-3.6,3.8,-4.8,3.8
"historical",1915,2.7,-3.9,-3.2,-5.4,-2.6,-0.3,-4.7,1.6,-5.1,0.2,-2.5,1.8,1.5,2.7
"historical",1916,2.7,-1.7,-1.2,-4.9,-4.8,1.2,-3.1,1.9,-5.6,0.2,-2.2,0.6,-1.6,2.7
"historical",1917,3.6,-1.8,-1,-3.6,-3.8,-1.2,-5.2,-0.9,-2.4,0.9,-2.3,-0.4,-1.8,3.6
"historical",1918,2.7,-2.3,-3.6,-1.7,-2.6,-2.3,-4.3,2.1,-3.3,-1,-1.1,1.9,-4.1,2.7
"historical",1919,2.7,-6.4,-0.9,-6.6,-4.1,-1.6,1.3,0,-3.6,-0.8,-1,1.5,-2.9,2.7
"historical",1920,2.5,-3.3,-2.5,-3,-2.6,-0.7,-4.2,0.7,-7,1,0.1,0.6,-3.7,2.5
"historical",1921,4.4,-3.1,-2.1,-2.4,-4.5,-1.7,-4.1,1.9,-5.3,3.1,-2.6,1.5,-1.7,4.4
"historical",1922,2.8,-4.5,-2,-3.8,-3.6,-2.3,-3.9,2,-4.4,0.9,-2.4,1.6,-1.2,2.8
"historical",1923,2.4,-2.8,-2.8,-5.8,-6.1,-2.1,-2.7,0.5,-4.8,0.7,-2.4,3.4,-0.4,3.4
"historical",1924,0.8,-0.8,-1.7,-3.5,-0.6,-2,-3.1,-0.5,-3,1.1,0.1,0.3,-3.9,1.1
"historical",1925,1.6,-0.7,-0.3,-6.8,-3,-2.2,-3.6,-1.1,-4.8,2.2,-3,-0.4,-1.2,2.2
"historical",1926,1.4,-6.2,-0.5,-4.9,-0.4,0.4,-2.3,-3.2,-6.3,2.5,2.5,1.2,-5.1,2.5
"historical",1927,2,-2.3,-4.1,-4.1,-4.3,-2.5,-5,-1.6,-2.9,2.3,-0.9,1.8,-2.8,2.3
"historical",1928,2.8,-4.2,-1.4,-4.5,-1.9,-2.2,-3.2,0.7,-5.5,1.2,-2.2,1.4,-1.2,2.8
"historical",1929,2.2,-1.3,-2.8,-4.4,-2.9,0.8,-4.8,-0.5,-5.1,2.2,-1.3,1.2,-2.6,2.2
"historical",1930,2.4,0.4,-1.8,-5.2,-3.7,-0.9,-7.2,1.5,-4.1,3.2,-0.7,4.4,-1.5,4.4
"historical",1931,2.7,-1.5,-3.3,-3,-2.6,-3.9,-4.6,1.1,-1.3,1.3,0.8,3.8,-3.7,3.8
"historical",1932,1.7,-0.5,-4.4,-5.2,-2.8,-0.3,-5.4,1,-6.6,0.5,-1.3,2.1,-2.3,2.1
"historical",1933,3.3,-5.3,1,-4.8,-4.6,0.1,-4.8,1.1,-4.3,1.4,-3.1,-0.1,-3.4,3.3
"historical",1934,1.7,-1,-3.1,-4.5,-3.6,-1.2,-6,-2,-2.9,0.7,-1.9,0.8,-0.8,1.7
"historical",1935,2.8,-3.4,0,-5.4,-2.6,-1,-1.9,-2.8,-0.1,0,-0.3,0.3,-2.2,2.8
"historical",1936,4.1,-0.8,-1,-5.7,-1.6,-1.5,-4.9,-1.5,-5.2,1.4,-2.8,0.8,-3.9,4.1
"historical",1937,2,-5.3,-2.4,-5.8,-3.8,-2.1,-5.3,0.5,-1.9,0.1,1.3,1,-1.6,2
"historical",1938,2.8,-7.7,-4.1,-4,-3.7,-1.7,-1.7,-1.2,-2.4,0.6,0.2,2.7,-2.5,2.8
"historical",1939,2.3,-3.1,-4.5,-7.7,-3,0.2,-2.8,0.2,-5.6,2.6,-1.5,1.2,-2.2,2.6
"historical",1940,2,-3.3,-3.9,-4.3,-3.2,-1,-5.5,-1,-4.6,3.2,2.1,0.9,-4.6,3.2
"historical",1941,1.7,-0.3,-4.2,-4.5,-2.6,-1.2,-2.1,0.3,-2.6,2.9,-0.7,0.1,-3.9,2.9
"historical",1942,0.3,0.2,-3.6,-4.8,-1.3,-0.8,-2.7,1.2,-2.7,-0.4,-2.1,1.6,-1.3,1.6
"historical",1943,2.1,-1.2,-2.3,-2.6,-3.3,-1.1,-4.2,1.2,-2.8,0.7,-1.6,2.3,-0.3,2.3
"historical",1944,1.9,-1.6,-0.1,-2.4,-4,-1,0.1,0.8,-2.4,1.4,-0.1,0.1,-2,1.9
"historical",1945,2,-2.6,-0.5,-8.6,-0.7,0.2,-3.9,-2.4,-2.8,1.3,-1.6,0.5,-5,2
"historical",1946,2.3,-2.6,-3.1,-6.1,-2.5,-2.2,-3.3,-0.1,-5,0.4,1.5,0.7,-1.2,2.3
"historical",1947,3,-0.3,-4.2,-9.1,-4.2,-0.9,-3.9,-1.8,-2,-0.6,-0.6,2.1,-3,3
"historical",1948,2.2,-1.1,-1.6,-7.5,-2.5,0.8,-3,-1.1,-2.2,2.3,-1.1,0.9,-3.5,2.3
"historical",1949,2.9,-2.6,-1.1,-2.9,-2.5,-1,-2.5,-1,-5.4,0.6,-1,0.5,-4.7,2.9
"historical",1950,3.7,-6.2,-2,-7.8,-1.4,-1.6,-2,-2.6,-4.2,-0.3,0.6,2.4,-2.6,3.7
"historical",1951,4.2,-2.9,-4.9,-6.9,-4.4,-0.7,-2.4,1.1,-2.4,2,-1.6,1.4,-3.5,4.2
"historical",1952,2.1,-4.1,-2.2,-6.9,-5.4,-2.7,-2.9,-1.1,-3.7,-1.6,-1.2,2.8,-5.4,2.8
"historical",1953,0.9,-2.8,-2.3,-5.3,-3.7,-1.7,-3.8,0.8,-2.1,0,-1.6,1.4,-3.1,1.4
"historical",1954,4.9,-2.9,-3.1,-6.4,-3.4,-0.4,-4.2,2.2,-3.5,-0.6,-1.4,0.8,-5.2,4.9
"historical",1955,2.9,-7.4,-0.8,-8.8,-1.8,-0.4,-2.2,1.6,-3.6,1.8,-2.4,1.2,-1.1,2.9
"historical",1956,2.5,-0.5,1.3,-8,-1.5,0.5,-2.4,2.3,-5.9,1.6,-1.4,0.4,-2.7,2.5
"historical",1957,5.5,-3.3,-1.7,-6,-0.4,-2.1,-3.1,-0.3,-5.7,2.1,-0.7,2.3,-4.3,5.5
"historical",1958,2.4,-3.9,-0.9,-4.2,-4.8,-1.5,-0.7,-1.4,-3.5,2.2,-1.3,1.5,-5.2,2.4
"historical",1959,2,-6.2,-3.1,-7.3,-6.1,-4.7,-1.6,-1.9,-4.3,2.1,-0.9,1.6,-1.1,2.1
"historical",1960,2.6,-2.6,-1.3,-3.7,-6.2,-3.4,-7.1,1.1,-6.7,1,-2.5,0.3,-3.4,2.6
"historical",1961,1.7,0.6,-2.5,-5.9,-3.5,-2.4,-2.8,1.4,-5.7,0.8,-3.6,-0.5,-2.8,1.7
"historical",1962,1.9,-7.9,-2.2,-5.5,-3.5,-1.3,-3.9,-0.4,-4.6,1,-0.7,2.6,-4.9,2.6
"historical",1963,3,-2,-2.4,-2.5,-4,-0.4,-3.1,0.9,-4.3,-0.8,-1.4,1.1,-0.2,3
"historical",1964,4.2,-0.5,-1.9,-6.5,-6.2,-2.4,-4.7,-0.3,-3.9,1.5,-0.8,1.4,-4.1,4.2
"historical",1965,1.1,-3.7,-3.3,-7.4,-4.1,-2,-5.3,1.3,-3.5,3.3,-1.5,-0.7,-5.1,3.3
"historical",1966,2.9,-5.9,-2.5,-6.4,-5.4,-2.4,-4.5,-0.2,-4.2,-1,-3,0.3,-5,2.9
"historical",1967,3.1,-6.9,-3.2,-4.1,-8.5,0.5,-1.2,1.7,-4.2,1,-0.6,1.1,-5.1,3.1
"historical",1968,1.5,-0.8,-3.5,-6.4,-4.2,0,-4.2,-3.6,-3,0.6,-2.2,1.2,-4.9,1.5
"historical",1969,2.6,-4.4,-3.4,-6.7,-8,-0.7,-4.6,1.5,-3.5,0.9,-2.3,0.9,-4.3,2.6
"historical",1970,2.3,-4.1,-4.9,-5.2,-5.4,-0.7,-3,-1.1,-3.4,3,0.3,2.2,0.3,3
"historical",1971,1.8,-4.3,-3.3,-5.3,-2.9,-3.8,-4.7,0.3,-5.3,1.8,-4,2.2,-7.4,2.2
"historical",1972,3.3,-0.7,-3.6,-7.4,-2.1,-2.9,-2.4,1.8,-0.7,0.2,-0.5,-0.5,-5.4,3.3
"historical",1973,2.2,-6.1,-1.4,-4.4,-6.6,-1.2,-3.4,0.8,-3.4,0.7,1.6,0.7,-4.5,2.2
"historical",1974,3,-2.1,-2.4,-8,-3.3,-2.5,-4.2,-0.6,-2.5,0.4,-0.7,1.2,-3.1,3
"historical",1975,2.2,-4.8,-3.1,-5.8,-3.7,-0.9,-3.3,0.2,-3.2,1.1,1,0.5,-3.5,2.2
"historical",1976,3.5,-1.1,-1.6,-3,-5.2,-0.9,-5.4,2.5,-4.3,1.5,-4,1.3,-4.8,3.5
"historical",1977,1.6,-2.5,-5.4,-5.9,-3.3,-3.9,-5.5,-2.3,-3.8,0.4,-1.3,3,-3.5,3
"historical",1978,1.6,-1.6,-2.8,-5.4,-0.1,-5.7,-4.2,0.1,-3,2.7,-2.4,1.2,-1.5,2.7
"historical",1979,0.8,1.3,-0.3,-3.1,-5.4,-0.1,-6.2,1.1,-3.3,3,1.9,1.8,-5.5,3
"historical",1980,2.3,0.1,-2.2,-6.1,-4,-0.2,-4.6,-0.1,-3.4,-0.8,-2.8,1.5,-5,2.3
"historical",1981,2.9,-1,-3,-6.8,-0.5,-2.5,-2.8,0.1,-4.4,-0.4,0.3,1,-4.3,2.9
"historical",1982,2.8,-2.9,-0.1,-5.2,-0.5,-0.3,-1.6,1,-1,2.1,0,-0.6,-3.8,2.8
"historical",1983,2.3,-4.4,-3.6,-8.1,-0.9,-2.3,-1.9,0.1,-2.6,0.5,-3,-1.9,-4.6,2.3
"historical",1984,2.1,-4,-0.8,-5.4,-7.2,-1.7,-4.5,-3,-5.8,0,-2.7,-1.2,-3.1,2.1
"historical",1985,1.7,0.4,1.7,-6.5,-1.2,-2.1,-4,1.2,-1.8,-1.8,-1.3,3.1,-2.7,3.1
"historical",1986,2.2,-3.5,-1.5,-4,-7.4,-2.4,-3.5,0.4,-2.2,-1.2,-1.4,-0.4,-0.8,2.2
"historical",1987,1.3,-0.9,1.4,-6.3,-3.5,-0.8,-3.7,1.3,-4.4,2,-2.8,0.1,-2.7,2
"historical",1988,2.3,3,-2.1,-5,-2.5,-3.2,-1.5,0.6,-2.2,1.4,-0.2,1.6,-1.4,3
"historical",1989,2.8,-6.8,-3.3,-2.2,-2.4,1.4,-6.7,0.3,-2.8,1,-1.5,0.9,-7.1,2.8
"historical",1990,3.5,-5.8,-1.3,-5.6,-0.2,-1,-3.3,-3.5,-2.3,0.6,-1.3,4.4,-2,4.4
"historical",1991,1.3,-0.7,0,-7.7,-4.3,3.1,-3.5,-0.4,-2.1,1.1,-1.4,2.1,-5.2,3.1
"historical",1992,1.4,2,2.8,-7.9,-1.1,-1.6,-2.8,0.8,-4.3,1.3,-3.3,-0.2,-1.7,2.8
"historical",1993,4.4,-6.9,-3.3,-4.5,-1.5,-2.1,-2.1,0.9,-2.7,0.4,-0.4,1.3,-3.6,4.4
"historical",1994,2.6,-1.7,-2.6,-6.7,-4.6,-2.9,-4.8,-0.7,-3,2.7,2.4,1.9,-2.2,2.7
"historical",1995,3.4,-4.9,2.3,-6.1,-1,-4.8,-4,-1.3,-4.3,2,-1.2,2,-5.7,3.4
"historical",1996,3.7,-3.1,-1.8,-4.5,-3.2,-0.7,-0.9,-0.8,-1.4,1.3,-1.1,0.7,-2.6,3.7
"historical",1997,1.7,-1.7,-0.6,-6.1,-3.2,-1.3,-5.7,-0.4,-2.6,0.6,-3.1,1.5,-3.4,1.7
"historical",1998,3,-1.1,-1.6,-3.5,-1.3,-1,-1.9,0.4,-3.9,-0.3,-2,4.3,-2.9,4.3
"historical",1999,3.3,-2.7,-2.8,-3.2,-2.8,-4.4,-1.4,2.2,-1.8,2.2,-2.2,0.8,-2.2,3.3
"historical",2000,2.6,-1.5,2.1,-4.8,0.3,-3.4,-4.1,0.6,-2.1,1.6,-1.3,3.1,-3.7,3.1
"historical",2001,1.8,-0.2,-2.9,-5.9,-3.6,-1.7,-2.1,1.1,-2.2,-0.1,0,2.8,-5.2,2.8
"historical",2002,1.5,0.5,0.8,-3.3,-2.6,-3.9,-4,1.7,-3,2.4,-0.2,3.3,-2.7,3.3
"historical",2003,1.4,-2.8,-2.9,-0.3,-3.5,-2,-3.5,3.8,-2.7,2.1,-0.6,1.4,-4.8,3.8
"historical",2004,3.8,-0.3,-1.6,-2.8,-3.8,-0.6,-4.3,3.8,-3.3,3.2,2.4,3.4,-1.7,3.8
"historical",2005,4.2,-0.6,-0.5,-2.6,-5,-0.5,-6.1,0.2,-3.4,2.8,-0.8,2.4,-1.6,4.2
"historical",2006,3.3,-2.8,-0.4,-3.4,-2.3,0.8,-4.4,2.3,0.4,2.4,-0.2,2.6,-3.7,3.3
"historical",2007,2.4,-1.4,-2.2,-2.2,-1.5,0.4,-3,2.7,-0.7,3.1,-1,2.2,-3.1,3.1
"historical",2008,2.4,-1.6,-1.2,-2.3,-3.2,0,-2.4,-0.4,-4.4,3,-1.6,2,-2.7,3
"historical",2009,2.9,3.6,0.3,-3.1,-1.8,0.5,-3.7,0.5,-1.4,6,-2.9,2,-0.7,6
"historical",2010,3.3,-2.7,-1.1,-1.5,-0.6,0.2,-3.1,-0.8,-2.4,3.4,-0.4,2.8,-2.2,3.4
"historical",2011,4.4,-3.3,-0.6,-5.2,-0.8,0.3,-2.8,2.1,-0.6,0.7,-0.1,4.6,-3.4,4.6
"historical",2012,4.7,0.6,-0.7,-1.7,-1.9,2.1,-4.5,0.6,-3.3,0.9,0.4,2.8,-3.9,4.7
"historical",2013,2.5,-0.8,-0.3,-3,-0.6,0.7,-2.4,0.2,-1.9,2.1,0.6,1.2,-2.9,2.5
"historical",2014,3.8,-3.5,-0.6,-4,-3.9,-1.5,2.6,0.7,0.7,1.1,-0.5,1.7,-3.9,3.8
"ssp126",2015,5.8,-7.6,-1.7,-2.9,-1.8,-1,-2.8,-4.7,-0.7,1.7,-1,3.3,-2.4,5.8
"ssp126",2016,3.8,1.5,-1.7,-4.4,-2.3,0.2,-4.1,0.8,-1.7,2.7,2.2,1.5,-3.6,3.8
"ssp126",2017,3.9,-9.9,-0.7,-2.5,0.4,-1.2,-1.8,-0.8,-3,2.4,-4.8,-1.1,-2.7,3.9
"ssp126",2018,3.5,-10.4,0.4,-3.1,-3.7,-2.7,-3.4,-0.3,-2.3,1.1,-2.2,0.8,-3.1,3.5
"ssp126",2019,3.4,-3.8,1,-4.5,-2.7,-3.1,-1.8,2.8,-3.9,3.8,-1.7,1.9,-3.8,3.8
"ssp126",2020,3.7,-10,0.1,-1.5,-2.2,-2.6,-3.5,2.7,-2.1,2.1,0.6,-1.2,-2.3,3.7
"ssp126",2021,3.7,-4.5,-0.5,-1.7,-3.9,-1.3,-3.7,-1.5,1.1,1.5,-3.8,-3,-3.3,3.7
"ssp126",2022,1.9,3.7,-1.5,-3.6,-1.7,-0.4,-2.2,2.4,-2.8,2.1,-6.2,0.6,-5.3,3.7
"ssp126",2023,4.5,-1.8,1.9,-2,-2.8,-1.6,-2.5,-3.2,-4.1,2.7,-1.8,3.9,-2.7,4.5
"ssp126",2024,4.5,-1.7,-2.3,-1.7,-0.7,-2.8,-3.3,-0.6,-2.5,1.7,-3,2,-5.3,4.5
"ssp126",2025,4.4,-1.5,-0.7,-3.1,-2.2,0.1,-4.6,0.3,-3.3,3.9,-3.6,1.1,-3.4,4.4
"ssp126",2026,4.4,-2.5,1.3,-6.2,-2.2,-0.8,-2.1,0.2,-2.6,2.9,-3.7,0.3,0.1,4.4
"ssp126",2027,3.2,0,-0.7,-6.6,-2.5,-2.1,-2.7,2.2,-3.1,3.3,-5.3,-4.3,-5.3,3.3
"ssp126",2028,4.3,-2.4,2.1,-0.8,-2.1,-0.6,-3,-0.4,-4,2.4,-0.1,2.2,-4.5,4.3
"ssp126",2029,3.4,-12,0.9,-3.5,-1,0.2,-4.8,3.1,-1.5,2.9,-2.2,1,-4.9,3.4
"ssp126",2030,2.2,1.6,-1.2,-1.7,-1.9,0.4,-2.5,1.7,0.6,3.1,-2.8,4.1,-1.5,4.1
"ssp126",2031,5.3,-7.2,3.2,-3.9,-2.6,-3.8,-1.9,-4.9,-2.4,4.1,2,1.3,-3.2,5.3
"ssp126",2032,4.5,-8.2,2.6,-3.2,-2.9,-1.3,-3.6,2.8,-1,1.8,-1.8,3.4,-2.4,4.5
"ssp126",2033,3.8,-4.7,0.4,-2,-2.5,-3.4,-2.9,0.7,-4.5,1.4,-1.1,3.2,-2.9,3.8
"ssp126",2034,3.7,-1.3,0.3,-3.3,-0.8,1.6,-2,-0.8,0.3,4.4,-2.2,-0.1,-5.5,4.4
"ssp126",2035,3.8,-2.5,1.9,0.5,2,-1,0.8,0.3,-1.1,3.1,0.1,0,-2.4,3.8
"ssp126",2036,2.7,-5.2,-0.7,-2.7,-0.8,-3.7,0.5,2.9,-1.1,2.8,0.6,3.4,-2.1,3.4
"ssp126",2037,4.7,-8.7,1.8,-4.9,-3.3,1.8,-4.5,1.6,-0.3,2,2,-0.5,-3.8,4.7
"ssp126",2038,3.7,-7.1,0.7,0.2,1.3,2.2,-3.9,-3.8,-1.1,2.5,0.4,2.2,-3,3.7
"ssp126",2039,2.9,-0.7,1.9,-2.5,1.8,-3.8,-2.1,0,-1.8,4.5,-2,2.6,-2.2,4.5
"ssp126",2040,4,-6,2,-3.8,1.7,2,0.1,0.5,-0.9,3.8,-2,-0.5,-0.6,4
"ssp126",2041,4.5,-4.2,-2.5,-3.6,-0.1,-0.1,-1,2,-3.7,4.3,0.9,1.8,-3.2,4.5
"ssp126",2042,2.7,-4.1,0.5,-4.5,-1.1,1.8,-3.3,0.1,0.3,3,0.3,0.9,-3.9,3
"ssp126",2043,3.1,-0.9,2.2,-3.1,2.8,-1.7,-3,-2.1,-0.8,2.7,-0.2,3.4,-4.1,3.4
"ssp126",2044,4.6,-1.3,-1.2,-3.5,2.5,-3,-4,2,0.5,4.5,-1.4,0.1,-5,4.6
"ssp126",2045,5,-6.8,1.1,-2.3,-1.4,-3.1,-3.9,0,-0.2,1.2,0.6,-4.5,-2.5,5
"ssp126",2046,4,-3.8,0.3,-1.6,-0.5,-1.4,-0.5,-0.6,-3.3,4.8,-0.7,-7.9,-3.3,4.8
